Y,Yt-1,Yt-2
15919,15487,11661
15487,11661,13658
11661,13658,16841
13658,16841,17259
16841,17259,16121
17259,16121,18600
16121,18600,18499
18600,18499,11511
18499,11511,13737
11511,13737,13192
13737,13192,17767
13192,17767,12765
17767,12765,10407
12765,10407,16355
10407,16355,10046
16355,10046,11321
10046,11321,10428
11321,10428,17507
10428,17507,12824
17507,12824,12422
12824,12422,17129
12422,17129,12615
17129,12615,10406
12615,10406,10607
10406,10607,15384
10607,15384,12273
15384,12273,12256
12273,12256,10733
12256,10733,13105
10733,13105,18273
13105,18273,18370
18273,18370,10185
18370,10185,10985
10185,10985,17401
10985,17401,10788
17401,10788,18194
10788,18194,19549
18194,19549,13854
19549,13854,13704
13854,13704,16474
13704,16474,16452
16474,16452,19767
16452,19767,12146
19767,12146,15340
12146,15340,13195
15340,13195,13747
13195,13747,13196
13747,13196,18447
13196,18447,15265
18447,15265,13598
15265,13598,17682
13598,17682,14144
17682,14144,17109
14144,17109,16432
17109,16432,10028
16432,10028,12289
10028,12289,12090
12289,12090,19774
12090,19774,12936
19774,12936,10108
12936,10108,13442
10108,13442,19266
13442,19266,14173
19266,14173,14226
14173,14226,12860
14226,12860,13456
12860,13456,13457
13456,13457,16427
13457,16427,13575
16427,13575,15664
13575,15664,12680
15664,12680,17564
12680,17564,16728
17564,16728,14146
16728,14146,12851
14146,12851,18733
12851,18733,19097
18733,19097,12022
19097,12022,11740
12022,11740,19343
11740,19343,13814
19343,13814,11062
13814,11062,13337
11062,13337,10219
13337,10219,11170
10219,11170,12280
11170,12280,14932
12280,14932,11504
14932,11504,13052
11504,13052,15442
13052,15442,15505
15442,15505,14921
15505,14921,15751
14921,15751,14313
15751,14313,12787
14313,12787,10553
12787,10553,17426
10553,17426,19154
17426,19154,15759
19154,15759,14050
15759,14050,15508
14050,15508,11389
15508,11389,14724
11389,14724,11761
14724,11761,19511
11761,19511,13423
19511,13423,11733
13423,11733,14961
11733,14961,11676
14961,11676,16932
11676,16932,16476
16932,16476,19107
16476,19107,18355
19107,18355,17696
18355,17696,18105
17696,18105,16287
18105,16287,18273
16287,18273,12155
18273,12155,14213
12155,14213,15831
14213,15831,11206
15831,11206,14010
11206,14010,12164
14010,12164,19802
12164,19802,19049
19802,19049,13715
19049,13715,16104
13715,16104,15644
16104,15644,17196
15644,17196,17526
17196,17526,13227
17526,13227,13160
13227,13160,19609
13160,19609,13905
19609,13905,14361
13905,14361,12272
14361,12272,14981
12272,14981,13923
14981,13923,11104
13923,11104,10073
11104,10073,17599
10073,17599,10115
17599,10115,18143
10115,18143,13675
18143,13675,11801
13675,11801,15232
11801,15232,13125
15232,13125,16709
13125,16709,10867
16709,10867,12812
10867,12812,16948
12812,16948,16423
16948,16423,18645
16423,18645,10975
18645,10975,15656
10975,15656,12857
15656,12857,10425
12857,10425,14358
10425,14358,14789
14358,14789,12766
14789,12766,10570
12766,10570,19417
10570,19417,18775
19417,18775,12062
18775,12062,18143
12062,18143,10647
18143,10647,16426
10647,16426,19847
16426,19847,11363
19847,11363,11649
11363,11649,15278
11649,15278,18479
15278,18479,18111
18479,18111,12837
18111,12837,19471
12837,19471,14595
19471,14595,12709
14595,12709,15350
12709,15350,14112
15350,14112,13736
14112,13736,13371
13736,13371,14467
13371,14467,14060
14467,14060,10858
14060,10858,15219
10858,15219,11989
15219,11989,16966
11989,16966,16253
16966,16253,18533
16253,18533,17911
18533,17911,12443
17911,12443,14356
12443,14356,14327
14356,14327,11864
14327,11864,14317
11864,14317,13505
14317,13505,17712
13505,17712,16086
17712,16086,12085
16086,12085,10958
12085,10958,12194
10958,12194,13785
12194,13785,12426
13785,12426,18538
12426,18538,17019
18538,17019,18451
17019,18451,12105
18451,12105,11997
12105,11997,13933
11997,13933,13123
13933,13123,13588
13123,13588,15057
13588,15057,19243
15057,19243,14046
19243,14046,18541
14046,18541,10044
18541,10044,16532
10044,16532,11687
16532,11687,17689
11687,17689,10397
17689,10397,11603
10397,11603,17730
11603,17730,14292
17730,14292,10205
14292,10205,10130
10205,10130,10145
10130,10145,16424
10145,16424,11718
16424,11718,17294
11718,17294,16869
17294,16869,15192
16869,15192,18612
15192,18612,18542
18612,18542,14221
18542,14221,11677
14221,11677,11242
11677,11242,19967
11242,19967,16167
19967,16167,16059
16167,16059,12865
16059,12865,19457
12865,19457,18481
19457,18481,13719
18481,13719,12365
13719,12365,17919
12365,17919,17706
17919,17706,11815
17706,11815,16385
11815,16385,13986
16385,13986,19919
13986,19919,18416
19919,18416,12304
18416,12304,16534
12304,16534,10859
16534,10859,18177
10859,18177,13290
18177,13290,19969
13290,19969,12129
19969,12129,15080
12129,15080,12461
15080,12461,18677
12461,18677,17873
18677,17873,12233
17873,12233,19777
12233,19777,16878
19777,16878,10176
16878,10176,17731
10176,17731,12241
17731,12241,19963
12241,19963,18572
19963,18572,10203
18572,10203,11848
10203,11848,12038
11848,12038,18112
12038,18112,14669
18112,14669,11679
14669,11679,16846
11679,16846,18858
16846,18858,18458
18858,18458,16391
18458,16391,13825
16391,13825,12913
13825,12913,10216
12913,10216,17016
10216,17016,10657
17016,10657,11506
10657,11506,16774
11506,16774,15496
16774,15496,18029
15496,18029,17984
18029,17984,19272
17984,19272,10298
19272,10298,10953
10298,10953,18668
10953,18668,10753
18668,10753,10174
10753,10174,16837
10174,16837,14860
16837,14860,19457
14860,19457,10855
19457,10855,10758
10855,10758,16098
10758,16098,18437
16098,18437,19271
18437,19271,14249
19271,14249,16235
14249,16235,19784
16235,19784,12083
19784,12083,11159
12083,11159,15069
11159,15069,18286
15069,18286,11663
18286,11663,11557
11663,11557,19144
11557,19144,16799
19144,16799,14577
16799,14577,15439
14577,15439,16210
15439,16210,13637
16210,13637,18339
13637,18339,13530
18339,13530,13740
13530,13740,16877
13740,16877,12123
16877,12123,18854
12123,18854,11719
18854,11719,14343
11719,14343,16913
14343,16913,12078
16913,12078,18300
12078,18300,10139
18300,10139,14392
10139,14392,18253
14392,18253,20000
18253,20000,19460
20000,19460,10900
19460,10900,16753
10900,16753,16366
16753,16366,10582
16366,10582,16090
10582,16090,12722
16090,12722,10569
12722,10569,10203
10569,10203,16669
10203,16669,17342
16669,17342,17303
17342,17303,15952
17303,15952,16795
15952,16795,13744
16795,13744,17720
13744,17720,15841
17720,15841,13982
15841,13982,14633
13982,14633,18698
14633,18698,19505
18698,19505,19483
19505,19483,11166
19483,11166,16073
11166,16073,18242
16073,18242,11673
18242,11673,10195
11673,10195,15286
10195,15286,16985
15286,16985,19984
16985,19984,12136
19984,12136,19264
12136,19264,11656
19264,11656,12972
11656,12972,16673
12972,16673,10758
16673,10758,11776
10758,11776,11731
11776,11731,12176
11731,12176,11604
12176,11604,11337
11604,11337,15818
11337,15818,10047
15818,10047,11801
10047,11801,19436
11801,19436,12760
19436,12760,11547
12760,11547,13428
11547,13428,19711
13428,19711,10397
19711,10397,16309
10397,16309,12905
16309,12905,10601
12905,10601,14891
10601,14891,13493
14891,13493,16945
13493,16945,10733
16945,10733,17994
10733,17994,14635
17994,14635,19959
14635,19959,11542
19959,11542,13478
11542,13478,10539
13478,10539,13775
10539,13775,19245
13775,19245,19073
19245,19073,14198
19073,14198,15481
14198,15481,14561
15481,14561,14764
14561,14764,14937
14764,14937,10269
14937,10269,14403
10269,14403,11427
14403,11427,18675
11427,18675,12454
18675,12454,11239
12454,11239,16109
11239,16109,10658
16109,10658,12174
10658,12174,15681
12174,15681,19130
15681,19130,11306
19130,11306,12593
11306,12593,16725
12593,16725,10061
16725,10061,16266
10061,16266,18313
16266,18313,14467
18313,14467,17805
14467,17805,15865
17805,15865,14259
15865,14259,13290
14259,13290,10314
13290,10314,15908
10314,15908,17516
15908,17516,19856
17516,19856,14252
19856,14252,13755
14252,13755,19343
13755,19343,19703
19343,19703,15274
19703,15274,10460
15274,10460,10693
10460,10693,11741
10693,11741,18506
11741,18506,16902
18506,16902,16692
16902,16692,11610
16692,11610,16151
11610,16151,18063
16151,18063,15690
18063,15690,11176
15690,11176,19792
11176,19792,17845
19792,17845,16385
17845,16385,19873
16385,19873,13396
19873,13396,14168
13396,14168,15552
14168,15552,19646
15552,19646,14539
19646,14539,15287
14539,15287,13085
15287,13085,14167
13085,14167,17420
14167,17420,15635
17420,15635,13254
15635,13254,12537
13254,12537,11268
12537,11268,15242
11268,15242,18648
15242,18648,16552
18648,16552,13836
16552,13836,15844
13836,15844,14095
15844,14095,11945
14095,11945,19601
11945,19601,15885
19601,15885,14336
15885,14336,13662
14336,13662,18806
13662,18806,14213
18806,14213,10604
14213,10604,18451
10604,18451,18033
18451,18033,10105
18033,10105,16389
10105,16389,13658
16389,13658,15677
13658,15677,10930
15677,10930,12083
10930,12083,18903
12083,18903,11109
18903,11109,15598
11109,15598,19676
15598,19676,10478
19676,10478,13342
10478,13342,19403
13342,19403,19023
19403,19023,16850
19023,16850,10265
16850,10265,19479
10265,19479,14243
19479,14243,12718
14243,12718,18557
12718,18557,12191
18557,12191,17297
12191,17297,12570
17297,12570,16965
12570,16965,12751
16965,12751,14635
12751,14635,13299
14635,13299,18551
13299,18551,11997
18551,11997,14130
11997,14130,16623
14130,16623,14633
16623,14633,10514
14633,10514,15961
10514,15961,11203
15961,11203,12632
11203,12632,10230
12632,10230,13984
10230,13984,11945
13984,11945,14215
11945,14215,16550
14215,16550,12600
16550,12600,17677
12600,17677,11642
17677,11642,18684
11642,18684,17805
18684,17805,19411
17805,19411,15810
19411,15810,11219
15810,11219,14159
11219,14159,10870
14159,10870,12623
10870,12623,14825
12623,14825,11582
14825,11582,15345
11582,15345,17131
15345,17131,10728
17131,10728,10289
10728,10289,15291
10289,15291,14631
15291,14631,12136
14631,12136,19000
12136,19000,17096
19000,17096,15420
17096,15420,18726
15420,18726,11872
18726,11872,16230
11872,16230,17694
16230,17694,11902
17694,11902,13415
11902,13415,10067
13415,10067,18201
10067,18201,14661
18201,14661,18395
14661,18395,15290
18395,15290,12790
15290,12790,17393
12790,17393,14794
17393,14794,12118
14794,12118,12996
12118,12996,15666
12996,15666,17421
15666,17421,12151
17421,12151,16237
12151,16237,11707
16237,11707,12321
11707,12321,16566
12321,16566,18072
16566,18072,10718
18072,10718,15190
10718,15190,15567
15190,15567,15639
15567,15639,11946
15639,11946,18776
11946,18776,15219
18776,15219,18387
15219,18387,16513
18387,16513,18007
16513,18007,12998
18007,12998,11250
12998,11250,19488
11250,19488,18757
19488,18757,14353
18757,14353,10788
14353,10788,10913
10788,10913,15023
10913,15023,18750
15023,18750,14105
18750,14105,17019
14105,17019,13744
17019,13744,11906
13744,11906,16323
11906,16323,17852
16323,17852,10382
17852,10382,15326
10382,15326,18732
15326,18732,19898
18732,19898,12966
19898,12966,16608
12966,16608,13273
16608,13273,12877
13273,12877,18982
12877,18982,11743
18982,11743,13340
11743,13340,17781
13340,17781,10550
17781,10550,17609
10550,17609,11552
17609,11552,14024
11552,14024,12845
14024,12845,18289
12845,18289,13474
18289,13474,14939
13474,14939,17435
14939,17435,12066
17435,12066,19052
12066,19052,18347
19052,18347,12440
18347,12440,15328
12440,15328,11436
15328,11436,10211
11436,10211,19630
10211,19630,11429
19630,11429,19593
11429,19593,10696
19593,10696,18740
10696,18740,12201
18740,12201,17771
12201,17771,15993
17771,15993,17068
15993,17068,19375
17068,19375,18368
19375,18368,13374
18368,13374,15523
13374,15523,19498
15523,19498,18374
19498,18374,10111
18374,10111,11396
10111,11396,19609
11396,19609,18202
19609,18202,17381
18202,17381,15588
17381,15588,14752
15588,14752,17101
14752,17101,12172
17101,12172,19578
12172,19578,17519
19578,17519,10228
17519,10228,13423
10228,13423,19699
13423,19699,11658
19699,11658,15781
11658,15781,17100
15781,17100,18682
17100,18682,10211
18682,10211,12574
10211,12574,17614
12574,17614,16213
17614,16213,16475
16213,16475,13471
16475,13471,19340
13471,19340,10479
19340,10479,16484
10479,16484,14292
16484,14292,15275
14292,15275,17587
15275,17587,17337
17587,17337,11232
17337,11232,13938
11232,13938,11973
13938,11973,11124
11973,11124,19722
11124,19722,14528
19722,14528,12996
14528,12996,17631
12996,17631,11491
17631,11491,15550
11491,15550,13489
15550,13489,15293
13489,15293,15096
15293,15096,16835
15096,16835,16319
16835,16319,14665
16319,14665,15662
14665,15662,18429
15662,18429,13764
18429,13764,17391
13764,17391,13944
17391,13944,12928
13944,12928,14574
12928,14574,19522
14574,19522,15113
19522,15113,19456
15113,19456,16281
19456,16281,13241
16281,13241,11595
13241,11595,13500
11595,13500,18124
13500,18124,10646
18124,10646,18589
10646,18589,16683
18589,16683,15870
16683,15870,16123
15870,16123,19805
16123,19805,14504
19805,14504,11477
14504,11477,17448
11477,17448,13455
17448,13455,11306
13455,11306,10954
11306,10954,16204
10954,16204,18522
16204,18522,10279
18522,10279,14053
10279,14053,10005
14053,10005,11090
10005,11090,12286
11090,12286,10881
12286,10881,17244
10881,17244,14821
17244,14821,15996
14821,15996,19094
15996,19094,10984
19094,10984,13178
10984,13178,10904
13178,10904,14361
10904,14361,18370
14361,18370,10067
18370,10067,10854
10067,10854,12300
10854,12300,19005
12300,19005,15297
19005,15297,16531
15297,16531,18628
16531,18628,16928
18628,16928,11223
16928,11223,17081
11223,17081,18780
17081,18780,11093
18780,11093,18742
11093,18742,14981
18742,14981,14903
14981,14903,15100
14903,15100,12762
15100,12762,17897
12762,17897,17500
17897,17500,19696
17500,19696,15068
19696,15068,16978
15068,16978,10683
16978,10683,11680
10683,11680,14770
11680,14770,13492
14770,13492,18951
13492,18951,13660
18951,13660,11119
13660,11119,10375
11119,10375,17611
10375,17611,11397
17611,11397,16628
11397,16628,11646
16628,11646,11338
11646,11338,10366
11338,10366,14248
10366,14248,15621
14248,15621,17977
15621,17977,10578
17977,10578,17365
10578,17365,11128
17365,11128,13750
11128,13750,15141
13750,15141,14994
15141,14994,15065
14994,15065,19168
15065,19168,11580
19168,11580,14566
11580,14566,15539
14566,15539,11619
15539,11619,19153
11619,19153,12720
19153,12720,18099
12720,18099,12111
18099,12111,12875
12111,12875,12048
12875,12048,19456
12048,19456,13359
19456,13359,19921
13359,19921,17160
19921,17160,13652
17160,13652,15730
13652,15730,10024
15730,10024,15977
10024,15977,12313
15977,12313,15021
12313,15021,11831
15021,11831,13623
11831,13623,17430
13623,17430,17758
17430,17758,15854
17758,15854,15610
15854,15610,14766
15610,14766,14601
14766,14601,15365
14601,15365,17888
15365,17888,19382
17888,19382,11646
19382,11646,19965
11646,19965,10964
19965,10964,14171
10964,14171,14382
14171,14382,11882
14382,11882,16400
11882,16400,16623
16400,16623,13054
16623,13054,11457
13054,11457,11653
11457,11653,12993
11653,12993,19488
12993,19488,17021
19488,17021,17240
17021,17240,18809
17240,18809,12989
18809,12989,16718
12989,16718,10549
16718,10549,11501
10549,11501,15069
11501,15069,19245
15069,19245,11740
19245,11740,11486
11740,11486,19295
11486,19295,12889
19295,12889,16744
12889,16744,10874
16744,10874,19619
10874,19619,19986
19619,19986,10707
19986,10707,17560
10707,17560,10043
17560,10043,12501
10043,12501,16077
12501,16077,19302
16077,19302,13540
19302,13540,19126
13540,19126,19874
19126,19874,17824
19874,17824,14520
17824,14520,19939
14520,19939,15353
19939,15353,19172
15353,19172,11098
19172,11098,11166
11098,11166,17531
11166,17531,19336
17531,19336,16959
19336,16959,12059
16959,12059,18525
12059,18525,19810
18525,19810,14229
19810,14229,11079
14229,11079,14293
11079,14293,12666
14293,12666,13165
12666,13165,19101
13165,19101,18585
19101,18585,13288
18585,13288,17339
13288,17339,19051
17339,19051,13337
19051,13337,19471
13337,19471,13200
19471,13200,10315
13200,10315,14106
10315,14106,15893
14106,15893,18625
15893,18625,11002
18625,11002,19278
11002,19278,18884
19278,18884,10302
18884,10302,14396
10302,14396,11235
14396,11235,12651
11235,12651,13856
12651,13856,12182
13856,12182,10225
12182,10225,13111
10225,13111,11409
13111,11409,11929
11409,11929,10131
11929,10131,18897
10131,18897,17061
18897,17061,16705
17061,16705,10391
16705,10391,11382
10391,11382,13678
11382,13678,12087
13678,12087,15541
12087,15541,18538
15541,18538,13644
18538,13644,18111
13644,18111,11143
18111,11143,19272
11143,19272,11296
19272,11296,18772
11296,18772,17135
18772,17135,15485
17135,15485,11965
15485,11965,13721
11965,13721,19992
13721,19992,14098
19992,14098,12225
14098,12225,16150
12225,16150,14696
16150,14696,13474
14696,13474,19858
13474,19858,16153
19858,16153,19019
16153,19019,11739
19019,11739,12310
11739,12310,19008
12310,19008,17760
19008,17760,13498
17760,13498,15886
13498,15886,18509
15886,18509,10670
18509,10670,12406
10670,12406,11820
12406,11820,13055
11820,13055,13012
13055,13012,18099
13012,18099,11426
18099,11426,15828
11426,15828,12771
15828,12771,11641
12771,11641,14857
11641,14857,10868
14857,10868,13121
10868,13121,13161
13121,13161,11110
13161,11110,14737
11110,14737,16259
14737,16259,15318
16259,15318,18724
15318,18724,17708
18724,17708,14484
17708,14484,16209
14484,16209,18287
16209,18287,16153
18287,16153,17274
16153,17274,11924
17274,11924,14363
11924,14363,16939
14363,16939,14704
16939,14704,12944
14704,12944,12732
12944,12732,10883
12732,10883,16796
10883,16796,13940
16796,13940,11832
13940,11832,12863
11832,12863,14372
12863,14372,16436
14372,16436,15202
16436,15202,11773
15202,11773,18808
11773,18808,10901
18808,10901,13691
10901,13691,14833
13691,14833,18661
14833,18661,11537
18661,11537,19768
11537,19768,13578
19768,13578,12593
13578,12593,15969
12593,15969,10857
15969,10857,17388
10857,17388,10645
17388,10645,18253
10645,18253,11885
18253,11885,10875
11885,10875,10136
10875,10136,15286
10136,15286,11562
15286,11562,12741
11562,12741,10294
12741,10294,12171
10294,12171,17021
12171,17021,15762
17021,15762,10411
15762,10411,11177
10411,11177,12541
11177,12541,11533
12541,11533,11728
11533,11728,18251
11728,18251,14493
18251,14493,10609
14493,10609,15691
10609,15691,17213
15691,17213,19965
17213,19965,16017
19965,16017,12360
16017,12360,18243
12360,18243,16006
18243,16006,16469
16006,16469,12203
16469,12203,11296
12203,11296,18291
11296,18291,17323
18291,17323,15856
17323,15856,15515
15856,15515,17195
15515,17195,19551
17195,19551,19073
19551,19073,18955
19073,18955,10601
18955,10601,13530
10601,13530,17424
13530,17424,10410
17424,10410,18010
10410,18010,11999
18010,11999,14828
11999,14828,14479
14828,14479,11804
14479,11804,18772
11804,18772,18951
18772,18951,15511
18951,15511,14035
15511,14035,18716
14035,18716,10864
18716,10864,12831
10864,12831,14714
12831,14714,11661
14714,11661,16508
11661,16508,11102
16508,11102,18159
11102,18159,11798
18159,11798,16518
11798,16518,18042
16518,18042,15071
18042,15071,13618
15071,13618,15873
13618,15873,13914
15873,13914,10018
13914,10018,17354
10018,17354,17505
17354,17505,16443
17505,16443,16957
16443,16957,12394
16957,12394,16850
12394,16850,13029
16850,13029,15939
13029,15939,16378
15939,16378,11439
16378,11439,10952
11439,10952,17195
10952,17195,11211
17195,11211,16923
11211,16923,15614
16923,15614,11208
15614,11208,16015
11208,16015,13681
16015,13681,16726
13681,16726,16406
16726,16406,14305
16406,14305,19302
14305,19302,18436
19302,18436,19481
18436,19481,19395
19481,19395,18316
19395,18316,17083
18316,17083,17291
17083,17291,13003
17291,13003,14706
13003,14706,13142
14706,13142,17857
13142,17857,14226
17857,14226,19750
14226,19750,13040
19750,13040,16349
13040,16349,12408
16349,12408,14654
12408,14654,15011
14654,15011,14451
15011,14451,16935
14451,16935,13652
16935,13652,16012
13652,16012,17306
16012,17306,14003
17306,14003,12581
14003,12581,14088
12581,14088,15612
14088,15612,14939
15612,14939,15735
14939,15735,16272
15735,16272,16311
16272,16311,16893
16311,16893,12062
16893,12062,11396
12062,11396,19829
11396,19829,17654
19829,17654,18609
17654,18609,13581
18609,13581,15192
13581,15192,14020
15192,14020,17259
14020,17259,19079
17259,19079,11028
19079,11028,18150
11028,18150,10849
18150,10849,10872
10849,10872,15259
10872,15259,19077
15259,19077,15384
19077,15384,14104
15384,14104,11811
14104,11811,11805
11811,11805,15286
11805,15286,10480
15286,10480,15355
10480,15355,19252
15355,19252,19862
19252,19862,11289
19862,11289,13411
11289,13411,18349
13411,18349,19112
18349,19112,15893
19112,15893,10643
15893,10643,10267
10643,10267,14724
10267,14724,12586
14724,12586,12128
12586,12128,14029
12128,14029,12588
14029,12588,17062
12588,17062,11310
17062,11310,14117
11310,14117,10313
14117,10313,13407
10313,13407,13990
13407,13990,12523
13990,12523,19776
12523,19776,16845
19776,16845,13201
16845,13201,18874
13201,18874,11276
18874,11276,12244
11276,12244,12495
12244,12495,18859
12495,18859,12741
18859,12741,15093
12741,15093,11486
15093,11486,18157
11486,18157,17852
18157,17852,13379
17852,13379,10760
13379,10760,12510
10760,12510,13955
12510,13955,15346
13955,15346,14890
15346,14890,18687
14890,18687,18622
18687,18622,18906
18622,18906,11466
18906,11466,10685
11466,10685,17276
10685,17276,14631
17276,14631,18614
14631,18614,17049
18614,17049,15475
17049,15475,13154
15475,13154,10111
13154,10111,17523
10111,17523,15269
17523,15269,13641
15269,13641,11568
13641,11568,12941
11568,12941,15306
12941,15306,14984
15306,14984,15290
14984,15290,17383
15290,17383,17260
